molecule_id,chemSpiderId,len_molecule,valid_prob,sol_prob,d_min,d_min_cl,degeneracy,find_rate
2748,274,3,0.92267,0.783862,0.0,0.0,2,1.0
154,5837,3,0.714298,0.524169,1.490712,1.490712,1,1.0
3156,8682,3,0.910203,0.843395,1.290995,1.290995,2,1.0
192,278,3,0.857052,0.605928,0.333333,0.333333,1,1.0
298,6110,3,0.94039,0.82098,1.0,1.0,1,1.0
3322,9243,3,0.686388,0.607428,1.247219,1.247219,1,1.0
2380,7956,3,0.63249,0.60653,1.054093,1.054093,2,1.0
3485,9481,3,0.86248,0.795171,0.869227,0.869227,2,1.0
299,1039,3,0.7864,0.742287,1.145038,1.145038,2,1.0
2379,7954,3,0.588806,0.541292,1.247219,1.247219,2,1.0
290,2916,3,0.935692,0.88431,1.247219,1.247219,2,1.0
86,1143,4,0.98104,0.601369,0.0,0.0,1,1.0
155,173,4,0.984559,0.642767,0.0,0.0,1,1.0
193,171,4,0.980935,0.513827,0.0,0.0,1,1.0
230,175,4,0.966314,0.584975,0.0,0.0,1,1.0
313,6127,4,0.971073,0.548347,0.0,0.0,1,1.0
317,6131,4,0.983067,0.64202,0.0,0.0,1,1.0
3323,9246,4,0.990029,0.695059,0.0,0.0,1,1.0
2752,29036,4,0.98568,0.847816,1.105541,1.105541,3,1.0
1726,21106015,4,0.981007,0.623348,0.816497,0.816497,1,1.0
1738,7572,4,0.987522,0.888488,0.333333,0.333333,2,1.0
147,1512,4,0.993336,0.618128,0.816497,0.816497,1,1.0
1737,13835235,4,0.979029,0.826732,0.816497,0.816497,2,1.0
1720,11719,4,0.938778,0.846756,1.105541,1.105541,2,1.0
1718,7556,4,0.984278,0.622833,1.247219,1.247219,2,1.0
179,2005981,4,0.987989,0.636073,0.447214,0.447214,1,1.0
2696,512,4,0.97473,0.632896,0.333333,0.333333,1,1.0
1719,7557,4,0.980749,0.670556,1.1547,1.1547,2,1.0
98,2275,5,0.926201,0.417333,0.0,0.0,1,1.0
469,6330,5,0.771287,0.565026,0.0,0.0,1,1.0
2259,12588,5,0.905527,0.606333,0.0,0.0,1,1.0
472,6334,5,0.812999,0.565497,0.0,0.0,1,1.0
1913,7731,5,0.867956,0.591357,0.0,0.0,1,1.0
3519,61254,5,0.889317,0.528507,0.0,0.0,1,1.0
3218,55053,5,0.830091,0.419516,0.0,0.0,1,1.0
2407,21106125,5,0.902993,0.443927,0.0,0.0,1,1.0
3370,9282,5,0.925605,0.516511,0.0,0.0,1,1.0
3100,10205670,5,0.932365,0.635682,0.0,0.0,1,1.0
260,258,5,0.783618,0.418309,0.816497,0.816497,1,1.0
1911,13837190,5,0.865891,0.744139,0.745356,0.745356,2,1.0
473,2005980,5,0.786635,0.551459,0.447214,0.447214,1,1.0
3373,9284,5,0.80709,0.560423,1.054093,1.054093,4,1.0
1909,7727,5,0.741619,0.609584,0.745356,0.745356,1,1.0
182,5894,5,0.909405,0.588397,1.0,1.0,1,1.0
64,5730,5,0.939434,0.789373,1.054093,1.054093,4,1.0
3204,8900,5,0.815958,0.419268,1.054093,1.054093,2,1.0
460,13849260,5,0.296842,0.17598,1.290995,1.290995,3,1.0
3372,61073,5,0.936493,0.675682,1.054093,1.054093,4,1.0
484,21106100,6,0.948175,0.703301,0.0,0.0,1,1.0
492,6348,6,0.883764,0.596063,0.0,0.0,1,1.0
1168,7029,6,0.944353,0.353829,0.0,0.0,1,1.0
1169,7030,6,0.959136,0.342371,0.0,0.0,1,1.0
481,6341,6,0.918237,0.542893,0.0,0.0,1,1.0
2210,11526,6,0.924984,0.262386,0.0,0.0,1,1.0
1159,54945,6,0.93296,0.34596,0.0,0.0,1,1.0
1160,7022,6,0.932271,0.253146,0.0,0.0,1,1.0
1153,7016,6,0.872994,0.548862,0.0,0.0,1,1.0
1775,7611,6,0.945858,0.559157,0.0,0.0,1,1.0
2700,29000,6,0.837354,0.715113,0.816497,0.816497,2,1.0
1975,7782,6,0.896371,0.239731,0.333333,0.333333,1,1.0
167,1577,6,0.884929,0.329485,1.0,1.0,1,1.0
2384,21106133,6,0.902498,0.507875,0.471404,0.471404,1,1.0
350,6170,6,0.826697,0.619661,0.333333,0.333333,1,1.0
2172,10340,6,0.937401,0.479286,0.333333,0.333333,1,1.0
138,2971,6,0.968531,0.228995,0.730297,0.730297,1,1.0
2264,71441,6,0.46194,0.405874,1.238278,1.238278,2,1.0
1765,7601,6,0.830756,0.535785,1.105541,1.105541,1,1.0
347,6168,6,0.900723,0.666121,1.054093,1.054093,3,1.0
1891,7706,7,0.979144,0.456191,0.0,0.0,1,1.0
355,6178,7,0.976912,0.631369,0.0,0.0,1,1.0
1600,7464,7,0.948296,0.425546,0.0,0.0,1,1.0
3339,13870615,7,0.956771,0.438499,0.0,0.0,1,1.0
3232,597,7,0.964003,0.234323,0.0,0.0,1,1.0
1889,30037,7,0.947947,0.590555,0.0,0.0,1,1.0
352,6175,7,0.963847,0.652807,0.0,0.0,1,1.0
1788,59444,7,0.948806,0.390055,0.0,0.0,1,1.0
1882,7699,7,0.891771,0.638001,0.0,0.0,1,1.0
1601,7465,7,0.974621,0.356872,0.0,0.0,1,1.0
2034,7827,7,0.883085,0.646975,0.869227,0.869227,2,1.0
2031,21106016,7,0.972275,0.626319,0.745356,0.745356,2,1.0
1890,7705,7,0.912119,0.585102,0.471404,0.471404,1,1.0
2020,13839441,7,0.96585,0.58273,0.816497,0.816497,2,1.0
1743,7578,7,0.971855,0.072915,0.816497,0.816497,1,1.0
1844,13874733,7,0.936972,0.251405,1.054093,1.054093,3,1.0
2766,13835293,7,0.927832,0.535742,0.745356,0.745356,2,1.0
3331,55055,7,0.969273,0.478753,1.054093,1.054093,3,1.0
2027,13835401,7,0.764045,0.273657,1.290995,1.290995,2,1.0
2025,60452,7,0.933673,0.476571,1.290995,1.290995,3,1.0
3404,61113,8,0.991076,0.679811,0.0,0.0,1,1.0
1929,7745,8,0.981136,0.522545,0.0,0.0,2,1.0
3376,61077,8,0.985804,0.606647,0.0,0.0,1,1.0
1199,7065,8,0.989998,0.265698,0.0,0.0,1,1.0
1607,7473,8,0.985051,0.413688,0.0,0.0,1,1.0
2699,28997,8,0.990946,0.463272,0.0,0.0,1,1.0
2714,4575589,8,0.988913,0.448497,0.0,0.0,2,1.0
3562,9567,8,0.995135,0.354107,0.0,0.0,1,1.0
1930,1078,8,0.980674,0.4565,0.0,0.0,2,1.0
2268,21171737,8,0.985528,0.367085,0.0,0.0,1,1.0
1713,13836520,8,0.990276,0.281618,0.471404,0.471404,1,1.0
361,6191,8,0.988884,0.823916,1.054093,1.054093,8,1.0
3385,9326,8,0.989831,0.337464,0.471404,0.471404,1,1.0
3394,9350,8,0.993536,0.422575,0.471404,0.471404,1,1.0
1803,13875356,8,0.974928,0.337496,1.054093,1.054093,6,1.0
1107,13875281,8,0.984065,0.116487,1.0,1.0,2,1.0
3034,8528,8,0.976111,0.161383,1.054093,1.054093,3,1.0
1343,7241,8,0.966888,0.397745,1.054093,1.054093,7,1.0
3229,8962,8,0.982109,0.413036,1.0,1.0,2,1.0
366,21106164,8,0.977406,0.280245,0.745356,0.745356,1,1.0
2231,11559,9,0.935564,0.040889,0.0,0.0,1,1.0
1699,215929,9,0.704782,0.502117,0.0,0.0,1,1.0
1259,7127,9,0.943675,0.554765,0.0,0.0,2,1.0
2273,63893,9,0.94026,0.274206,0.0,0.0,2,1.0
250,6026,9,0.919642,0.276006,0.0,0.0,1,1.0
3018,8514,9,0.883939,0.326147,0.0,0.0,1,1.0
1757,59442,9,0.93419,0.182005,0.0,0.0,1,1.0
51,2241,9,0.892041,0.396348,0.0,0.0,1,1.0
3525,61256,9,0.938976,0.529931,0.0,0.0,1,1.0
1619,7482,9,0.788452,0.40423,0.0,0.0,1,1.0
3021,8519,9,0.643084,0.46992,0.649786,0.649786,1,1.0
2778,21159488,9,0.758157,0.682286,0.333333,0.333333,2,1.0
1751,7584,9,0.657936,0.565446,0.557773,0.557773,2,1.0
1500,7383,9,0.599044,0.058567,1.054093,1.054093,2,1.0
2737,441,9,0.71595,0.617573,0.333333,0.333333,1,1.0
3190,60826,9,0.895878,0.272197,0.802773,0.802773,2,1.0
2274,63896,9,0.583681,0.269937,1.054093,1.054093,9,1.0
197,5931,9,0.921246,0.4652,0.333333,0.333333,2,1.0
1834,7667,9,0.785247,0.301589,1.0,1.0,3,1.0
745,6628,9,0.623764,0.051079,1.0,1.0,2,1.0
1212,7076,10,0.914072,0.262343,0.0,0.0,1,1.0
1704,13882938,10,0.931057,0.196171,0.0,0.0,1,1.0
3238,2006502,10,0.967571,0.307125,0.0,0.0,2,1.0
2234,62464,10,0.953503,0.184498,0.0,0.0,1,1.0
3073,8568,10,0.938955,0.383575,0.0,0.0,1,1.0
396,91747,10,0.927146,0.247685,0.0,0.0,1,1.0
2498,8070,10,0.944074,0.257757,0.0,0.0,1,1.0
2733,370,10,0.8291,0.440433,0.0,0.0,1,1.0
803,6675,10,0.954961,0.347599,0.0,0.0,1,1.0
1063,6931,10,0.773905,0.541557,0.0,0.0,1,1.0
1588,21105859,10,0.930213,0.268781,0.333333,0.333333,1,1.0
1304,7191,10,0.732213,0.227866,1.054093,1.054093,5,1.0
430,6286,10,0.913889,0.397168,0.745356,0.745356,2,1.0
1067,6933,10,0.917786,0.140744,0.333333,0.333333,1,1.0
2988,8488,10,0.843484,0.662573,0.942809,0.942809,8,1.0
1142,21106163,10,0.797205,0.085311,1.0,1.0,2,1.0
3128,608157,10,0.947023,0.410771,0.557773,0.557773,2,1.0
3514,9499,10,0.925822,0.493316,0.333333,0.333333,2,1.0
2287,13657,10,0.885835,0.07915,0.745356,0.745356,1,1.0
2284,63907,10,0.969906,0.086558,0.333333,0.333333,1,1.0
3315,61016,11,0.946992,0.344358,0.0,0.0,2,1.0
256,6035,11,0.957103,0.243003,0.0,0.0,1,1.0
833,3933,11,0.965349,0.160211,0.0,0.0,1,1.0
621,6482,11,0.961734,0.220777,0.0,0.0,1,1.0
2634,21159480,11,0.929051,0.155079,0.0,0.0,1,1.0
3310,61006,11,0.96039,0.303736,0.0,0.0,1,1.0
2949,8415,11,0.966662,0.285282,0.0,0.0,1,1.0
3313,64237,11,0.956558,0.055444,0.0,0.0,1,1.0
1204,7069,11,0.952614,0.456684,0.0,0.0,2,1.0
1280,7157,11,0.945749,0.15829,0.0,0.0,1,1.0
1249,7120,11,0.961204,0.088844,0.557773,0.557773,1,1.0
1464,59415,11,0.698716,0.078804,1.054093,1.054093,2,1.0
2951,8418,11,0.885431,0.343219,0.471404,0.471404,1,1.0
1197,199,11,0.948527,0.493206,0.471404,0.471404,3,1.0
2324,13839549,11,0.937745,0.281699,0.745356,0.745356,4,1.0
1310,7199,11,0.941232,0.086911,0.333333,0.333333,1,1.0
2889,8341,11,0.940728,0.265133,0.471404,0.471404,1,1.0
1545,13850344,11,0.901312,0.405137,0.333333,0.333333,1,1.0
3567,9570,11,0.780361,0.196083,1.054093,1.054093,9,1.0
773,6658,11,0.95813,0.064462,0.557773,0.557773,1,1.0
163,54926,12,0.941612,0.1424,0.0,0.0,1,1.0
3107,6715,12,0.975722,0.063683,0.0,0.0,1,1.0
952,60074,12,0.947103,0.14092,0.0,0.0,1,1.0
736,21106112,12,0.961929,0.258855,0.0,0.0,1,1.0
2687,13865630,12,0.946565,0.503098,0.0,0.0,2,1.0
2486,21105897,12,0.952972,0.32119,0.0,0.0,1,1.0
1528,7406,12,0.952496,0.215712,0.0,0.0,1,1.0
828,60009,12,0.960355,0.318051,0.0,0.0,1,1.0
953,6825,12,0.960013,0.027198,0.0,0.0,1,1.0
1492,21105987,12,0.949475,0.247521,0.0,0.0,1,1.0
3172,60763,12,0.867856,0.627087,0.333333,0.333333,2,1.0
3360,61059,12,0.901803,0.425678,1.054093,1.054093,16,1.0
3570,61311,12,0.944732,0.198827,0.333333,0.333333,1,1.0
1314,21106585,12,0.783037,0.293328,1.054093,1.054093,6,1.0
2928,5256,12,0.949066,0.535135,0.447214,0.447214,2,1.0
3269,10430682,12,0.814132,0.184176,1.105541,1.105541,6,1.0
530,6393,12,0.96395,0.052161,0.557773,0.557773,1,1.0
756,6640,12,0.895,0.197108,1.0,1.0,6,1.0
2297,13679,12,0.892063,0.072978,1.0,1.0,2,1.0
798,59989,12,0.962919,0.052472,0.557773,0.557773,1,1.0
1026,60106,13,0.974641,0.215821,0.0,0.0,1,1.0
742,780,13,0.968098,0.357922,0.0,0.0,1,1.0
1557,7428,13,0.913758,0.299382,0.0,0.0,1,1.0
2947,8410,13,0.975389,0.157462,0.0,0.0,1,1.0
3309,2039582,13,0.967921,0.287202,0.0,0.0,1,1.0
3565,61306,13,0.964871,0.186919,0.0,0.0,1,1.0
3244,1675,13,0.974343,0.029256,0.0,0.0,1,1.0
3084,8578,13,0.903275,0.281236,0.0,0.0,1,1.0
1483,7363,13,0.965811,0.268099,0.0,0.0,1,1.0
2082,21079,13,0.973043,0.485886,0.0,0.0,4,1.0
2545,60462,13,0.94712,0.199309,0.333333,0.333333,1,1.0
939,60063,13,0.952898,0.398767,0.333333,0.333333,1,1.0
3025,60666,13,0.866061,0.645056,0.333333,0.333333,2,1.0
926,6800,13,0.932375,0.268525,0.745356,0.745356,2,1.0
784,59982,13,0.926495,0.388171,0.333333,0.333333,1,1.0
791,6669,13,0.962301,0.13436,0.557773,0.557773,1,1.0
2549,60464,13,0.959525,0.263399,0.333333,0.333333,3,1.0
1402,7300,13,0.827777,0.040423,1.0,1.0,1,1.0
717,6593,13,0.854876,0.057268,1.0,1.0,2,1.0
2342,7903,13,0.938998,0.220446,0.93095,0.93095,1,1.0
1190,7057,14,0.981943,0.155318,0.0,0.0,1,1.0
1000,6872,14,0.977116,0.301497,0.0,0.0,1,1.0
1491,7368,14,0.959874,0.106561,0.0,0.0,1,1.0
1945,7757,14,0.925926,0.292961,0.0,0.0,1,1.0
724,59960,14,0.971127,0.330106,0.0,0.0,1,1.0
2013,59462,14,0.981302,0.683787,0.0,0.0,2,1.0
1051,6925,14,0.965114,0.067439,0.0,0.0,1,1.0
732,6611,14,0.973639,0.157757,0.0,0.0,1,1.0
2606,8170,14,0.971396,0.037329,0.0,0.0,1,1.0
142,5824,14,0.978945,0.297985,0.0,0.0,1,1.0
719,6597,14,0.973977,0.302586,0.333333,0.333333,4,1.0
2914,21106121,14,0.97623,0.351166,0.471404,0.471404,2,1.0
616,59167,14,0.96945,0.099508,0.333333,0.333333,1,1.0
1018,6888,14,0.900434,0.19261,1.054093,1.054093,8,1.0
988,60091,14,0.934775,0.115202,1.0,1.0,3,1.0
2814,60561,14,0.968897,0.218503,0.471404,0.471404,1,1.0
2540,8111,14,0.889953,0.192538,1.054093,1.054093,12,1.0
1540,60274,14,0.977932,0.347111,0.333333,0.333333,2,1.0
922,6797,14,0.886083,0.154324,1.0,1.0,3,1.0
3174,60765,14,0.959942,0.531285,0.333333,0.333333,4,1.0
3280,60910,15,0.970621,0.209135,0.0,0.0,2,1.0
2042,60338,15,0.967977,0.233921,0.0,0.0,1,1.0
1178,60153,15,0.98428,0.100051,0.0,0.0,1,1.0
2547,8115,15,0.97717,0.115809,0.0,0.0,1,1.0
2066,7847,15,0.962527,0.376446,0.0,0.0,1,1.0
403,6255,15,0.978895,0.08569,0.0,0.0,1,1.0
800,6673,15,0.980164,0.057903,0.0,0.0,1,1.0
2860,8298,15,0.978239,0.203937,0.0,0.0,1,1.0
997,6869,15,0.979401,0.046069,0.0,0.0,1,1.0
1474,54964,15,0.97653,0.206439,0.0,0.0,1,1.0
702,6577,15,0.97312,0.178769,0.666666,0.666666,2,1.0
2744,29031,15,0.933459,0.441983,0.333333,0.333333,1,1.0
3090,8582,15,0.879848,0.052919,1.290995,1.290995,2,1.0
3362,88462,15,0.981705,0.225771,0.471404,0.471404,1,1.0
605,6466,15,0.983856,0.026797,0.557773,0.557773,1,1.0
3186,8858,15,0.971234,0.33599,0.333333,0.333333,2,1.0
2535,60427,15,0.977319,0.448275,0.745356,0.745356,3,1.0
2765,29074,15,0.982578,0.202247,0.333333,0.333333,2,1.0
534,199342,15,0.982376,0.23166,0.333333,0.333333,1,1.0
923,60048,15,0.961462,0.237811,1.0,1.0,3,1.0
2686,28988,16,0.982345,0.206135,0.0,0.0,4,1.0
2015,7807,16,0.980443,0.216919,0.0,0.0,2,1.0
1001,6873,16,0.996188,0.145193,0.0,0.0,1,1.0
1706,7541,16,0.991792,0.245725,0.0,0.0,2,1.0
1668,7512,16,0.995784,0.344145,0.0,0.0,1,1.0
2881,8329,16,0.989319,0.226508,0.0,0.0,2,1.0
2855,8288,16,0.990739,0.210587,0.0,0.0,2,1.0
2350,60344,16,0.991166,0.470277,0.0,0.0,1,1.0
1368,60224,16,0.991513,0.369249,0.0,0.0,1,1.0
2995,13865454,16,0.988811,0.385838,0.0,0.0,2,1.0
2931,60635,16,0.994941,0.036206,0.557773,0.557773,2,1.0
1417,20285,16,0.968108,0.060399,1.054093,1.054093,4,1.0
906,3177,16,0.990526,0.069795,0.333333,0.333333,1,1.0
875,6755,16,0.98879,0.076189,0.471404,0.471404,1,1.0
1664,392816,16,0.987428,0.281776,0.745356,0.745356,3,1.0
3142,60747,16,0.966903,0.056085,1.054093,1.054093,4,1.0
1461,7341,16,0.996012,0.23261,0.745356,0.745356,3,1.0
509,6369,16,0.990194,0.089303,0.557773,0.557773,2,1.0
2418,8014,16,0.989846,0.007578,0.471404,0.471404,1,1.0
2840,8269,16,0.978339,0.04151,1.0,1.0,2,1.0
1055,60117,17,0.775042,0.152383,0.0,0.0,1,1.0
1538,21159449,17,0.844302,0.107545,0.0,0.0,1,1.0
1038,6912,17,0.925707,0.279377,0.0,0.0,1,1.0
874,6754,17,0.910672,0.005923,0.0,0.0,1,1.0
821,60001,17,0.886271,0.113104,0.0,0.0,1,1.0
2735,29024,17,0.69325,0.271868,0.0,0.0,1,1.0
824,60005,17,0.931463,0.045362,0.0,0.0,1,1.0
1032,6899,17,0.920068,0.106122,0.0,0.0,2,1.0
1052,6926,17,0.873786,0.075921,0.0,0.0,1,1.0
614,6476,17,0.873754,0.275013,0.0,0.0,3,1.0
3540,4510333,17,0.913182,0.068466,0.57735,0.57735,1,1.0
3103,5145,17,0.951899,0.034172,0.557773,0.557773,1,1.0
864,6746,17,0.609607,0.011808,1.0,1.0,2,1.0
1187,60169,17,0.907549,0.096854,0.333333,0.333333,1,1.0
1183,2929,17,0.864924,0.100853,0.471404,0.471404,2,1.0
704,59947,17,0.907244,0.125253,0.333333,0.333333,1,1.0
3102,5137,17,0.895212,0.122363,0.557773,0.557773,3,1.0
518,59827,17,0.863798,0.136576,0.333333,0.333333,1,1.0
3443,61159,17,0.941909,0.071116,0.557773,0.557773,2,1.0
948,6820,17,0.776084,0.110607,0.557773,0.557773,2,1.0
1642,59437,18,0.930153,0.368636,0.0,0.0,2,1.0
199,5304,18,0.940327,0.080177,0.0,0.0,1,1.0
566,4511053,18,0.897898,0.183363,0.0,0.0,2,1.0
2822,8242,18,0.894388,0.130499,0.0,0.0,2,1.0
657,59910,18,0.920859,0.128974,0.0,0.0,2,1.0
2434,8024,18,0.911191,0.308735,0.0,0.0,2,1.0
2485,8061,18,0.92509,0.193324,0.0,0.0,1,1.0
3057,8078903,18,0.742635,0.405696,0.0,0.0,1,1.0
274,6056,18,0.9362,0.025588,0.0,0.0,2,1.0
2859,8296,18,0.894749,0.051046,0.0,0.0,1,1.0
74,5739,18,0.65187,0.019851,1.0,1.0,2,1.0
949,60073,18,0.931107,0.060968,0.333333,0.333333,3,1.0
1003,6874,18,0.829922,0.000124,0.471404,0.471404,1,1.0
499,59620,18,0.940419,0.052938,0.557773,0.557773,1,1.0
946,6815,18,0.794118,0.134387,0.557773,0.557773,2,1.0
1454,91782,18,0.905535,0.087669,0.471404,0.471404,2,1.0
3213,60850,18,0.861312,0.205975,0.745356,0.745356,8,1.0
3441,61156,18,0.86011,0.334027,0.333333,0.333333,2,1.0
987,6848,18,0.639421,0.08551,1.054093,1.054093,12,1.0
3384,9321,18,0.61413,0.11689,1.054093,1.054093,12,1.0
2463,60388,19,0.951668,0.038113,0.0,0.0,2,1.0
1276,60194,19,0.880574,0.087661,0.0,0.0,1,1.0
1425,7317,19,0.947577,0.037058,0.0,0.0,1,1.0
1053,4509792,19,0.857981,0.154423,0.0,0.0,1,1.0
3364,61061,19,0.942732,0.160358,0.0,0.0,2,1.0
3139,8443,19,0.926654,0.096654,0.0,0.0,3,1.0
561,59851,19,0.916276,0.120223,0.0,0.0,2,1.0
2477,60396,19,0.930087,0.119109,0.0,0.0,2,1.0
562,59853,19,0.963554,0.154497,0.0,0.0,2,1.0
1207,7071,19,0.836923,0.505817,0.0,0.0,2,1.0
